Al2O3,CaO,Fe2O3,MgO,SO3,SiO2,F.CaO,LSF,SM,A/F,C3S,C2S,C3A,C4AF,2C3A+C4AF,LIQUID %,LT.WT Gm/Ltr,K2O,Na2O,TiO2
,,,,,,,,,,,,,,,,,,,
5.09,65.81,4.01,1.51,0.32,21.14,2.8,96.91,2.32,1.27,55.88,18.5,6.7,12.2,25.61,26.67,1270,0.27,0.28,0.31
,,,,,,,,,,,,,,,,,,,
5.12,65.06,4.03,1.56,0.28,22.44,1.26,90.87,2.45,1.27,48.98,27.43,6.75,12.26,25.76,26.81,1310,0.25,0.28,0.33
,,,,,,,,,,,,,,,,,,,
5.12,64.78,3.93,1.56,0.44,22.7,1.09,89.65,2.51,1.3,46.7,29.89,6.92,11.96,25.8,26.75,1200,0.34,0.32,0.32
,,,,,,,,,,,,,,,,,,,
5.1,64.72,3.99,1.56,0.36,22.52,1.12,90.18,2.48,1.28,47.75,28.58,6.76,12.14,25.67,26.74,1250,0.31,0.3,0.32
5.04,65.23,4.06,1.56,0.29,22.24,1.34,91.93,2.44,1.24,51.36,25.06,6.49,12.35,25.33,26.65,1300,0.27,0.29,0.32
,,,,,,,,,,,,,,,,,,,
5.06,64.74,4,1.57,0.4,22.46,1.17,90.47,2.48,1.27,48.34,27.97,6.64,12.17,25.45,26.7,1240,0.33,0.31,0.33
,,,,,,,,,,,,,,,,,,,
5.17,65.01,4.03,1.56,0.2,22.58,1.79,90.23,2.45,1.28,45.22,30.66,6.88,12.26,26.03,26.88,1250,0.3,0.29,0.33
,,,,,,,,,,,,,,,,,,,
4.94,64.93,4.07,1.52,0.29,21.79,1.88,93.31,2.42,1.21,52.02,23.27,6.2,12.39,24.79,26.34,1270,0.31,0.29,0.32
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
5.03,65.26,4.01,1.55,0.29,22.32,1.52,91.74,2.47,1.25,50.28,26.1,6.54,12.2,25.29,26.5,1310,0.22,0.28,0.33
,,,,,,,,,,,,,,,,,,,
5.17,65.84,4.08,1.54,0.44,21.54,1.84,95.19,2.33,1.27,56.23,19.38,6.8,12.42,26.01,27.21,1330,0.32,0.3,0.32
,,,,,,,,,,,,,,,,,,,
5.24,65.88,4.1,1.53,0.33,21.51,1.72,95.23,2.3,1.28,56.61,19.01,6.95,12.48,26.37,27.34,1350,0.27,0.29,0.32
,,,,,,,,,,,,,,,,,,,
5.03,65.64,3.96,1.52,0.26,22.25,1.36,92.57,2.47,1.27,53.09,23.79,6.63,12.05,25.31,26.33,1340,0.24,0.26,0.32
,,,,,,,,,,,,,,,,,,,
