Al2O3,CaO,Fe2O3,MgO,SO3,SiO2,F.CaO,LSF,SM,A/F,C3S,C2S,C3A,C4AF,2C3A+C4AF,LIQUID %,LT.WT Gm/Ltr,K2O,Na2O,TiO2
4.36,66.66,3.43,1.34,0.18,22.82,2.52,93.53,2.93,1.27,53.44,25.15,5.75,10.44,21.94,22.93,1290,0.32,0.28,0.31
,,,,,,,,,,,,,,,,,,,
4.8,66.47,3.4,1.34,0.26,22.53,2.8,93.68,2.75,1.41,50.82,26.3,6.97,10.35,24.28,24.24,1260,0.34,0.27,0.3
,,,,,,,,,,,,,,,,,,,
4.74,66.23,3.35,1.31,0.31,22.5,2.52,93.58,2.78,1.41,51.68,25.56,6.89,10.19,23.98,23.97,1250,0.34,0.26,0.31
,,,,,,,,,,,,,,,,,,,
4.83,65.65,3.59,1.31,0.34,22.66,3.08,91.84,2.69,1.35,44.88,31.15,6.73,10.92,24.37,24.8,1200,0.33,0.28,0.31
,,,,,,,,,,,,,,,,,,,
4.87,66.33,3.67,1.3,0.46,22.44,2.88,93.47,2.63,1.33,49.75,26.85,6.7,11.17,24.56,25.2,1200,0.28,0.27,0.31
,,,,,,,,,,,,,,,,,,,
4.75,65.31,3.73,1.29,0.55,22.51,2.46,91.91,2.65,1.27,47.5,28.75,6.28,11.35,23.9,25.06,1220,0.35,0.29,0.31
,,,,,,,,,,,,,,,,,,,
4.84,65.47,3.77,1.31,0.3,22.8,2.24,90.93,2.65,1.28,46.18,30.57,6.45,11.47,24.37,25.18,1220,0.35,0.27,0.31
,,,,,,,,,,,,,,,,,,,
4.84,65.56,3.81,1.3,0.27,22.92,2.1,90.6,2.65,1.27,46.14,30.94,6.38,11.59,24.35,25.23,1260,0.34,0.26,0.32
4.81,65.76,3.51,1.3,0.23,22.88,1.62,91.31,2.75,1.37,49.85,28.03,6.81,10.68,24.3,24.44,1290,0.36,0.26,0.31
,,,,,,,,,,,,,,,,,,,
4.79,65.78,3.61,1.29,0.6,22.63,1.96,92.18,2.69,1.33,50.44,26.87,6.59,10.99,24.16,24.96,1300,0.41,0.3,0.31
,,,,,,,,,,,,,,,,,,,
4.76,65.91,3.54,1.32,0.29,22.98,1.86,91.21,2.77,1.34,49.01,28.95,6.62,10.77,24.02,24.44,1300,0.31,0.25,0.31
,,,,,,,,,,,,,,,,,,,
4.74,65.52,3.5,1.29,0.26,23.22,1.64,89.9,2.82,1.35,46.69,31.39,6.64,10.65,23.93,24.23,1290,0.33,0.26,0.31
,,,,,,,,,,,,,,,,,,,
4.78,65.43,3.52,1.3,0.4,22.99,2.24,90.5,2.77,1.36,45.33,31.76,6.71,10.71,24.13,24.55,1290,0.37,0.27,0.31
,,,,,,,,,,,,,,,,,,,
4.72,65.38,3.55,1.27,0.28,23.11,1.96,90.07,2.79,1.33,45.72,31.81,6.5,10.8,23.81,24.28,1310,0.34,0.25,0.32
,,,,,,,,,,,,,,,,,,,
4.73,65.5,3.58,1.29,0.38,23.16,1.82,90.03,2.79,1.32,46.28,31.53,6.48,10.89,23.85,24.5,1280,0.3,0.24,0.31
