Al2O3,CaO,Fe2O3,MgO,SO3,SiO2,F.CaO,LSF,SM,A/F,C3S,C2S,C3A,C4AF,2C3A+C4AF,LIQUID %,LT.WT Gm/Ltr,K2O,Na2O,TiO2
5.43,64.31,4.57,1.47,0.23,21.1,2.1,93.79,2.11,1.19,49.84,22.93,6.66,13.91,27.22,28.77,1320,0.31,0.25,0.37
,,,,,,,,,,,,,,,,,,,
5.39,64.23,4.42,1.43,0.28,21.47,1.96,92.47,2.19,1.22,47.76,25.57,6.8,13.45,27.06,28.33,1320,0.34,0.26,0.36
,,,,,,,,,,,,,,,,,,,
5.36,64.27,4.41,1.51,0.33,21.44,2.24,92.7,2.19,1.22,47.22,25.88,6.74,13.42,26.9,28.35,1310,0.37,0.26,0.36
,,,,,,,,,,,,,,,,,,,
5.29,64.23,4.46,1.52,0.37,21.16,2.4,93.77,2.17,1.19,48.94,23.79,6.47,13.57,26.52,28.31,1300,0.37,0.28,0.36
,,,,,,,,,,,,,,,,,,,
5.18,64.29,4.62,1.55,0.28,21.49,2.12,92.65,2.19,1.12,48.32,25.2,5.91,14.06,25.88,28.28,1310,0.34,0.28,0.36
,,,,,,,,,,,,,,,,,,,
5.09,64.14,4.52,1.55,0.3,21.27,2.52,93.5,2.21,1.13,48.5,24.43,5.84,13.75,25.44,27.81,1250,0.35,0.28,0.35
,,,,,,,,,,,,,,,,,,,
5.24,64.01,4.72,1.54,0.32,21.12,1.96,93.46,2.12,1.11,50.1,22.8,5.9,14.36,26.16,28.7,1300,0.34,0.29,0.36
,,,,,,,,,,,,,,,,,,,
6.12,63.36,5.56,1.39,0.35,20.45,0.56,92.88,1.75,1.1,51.13,20.1,6.81,16.92,30.54,33.03,1530,0.38,0.27,0.41
,,,,,,,,,,,,,,,,,,,
5.99,63.97,5.41,1.35,0.34,20.07,1.82,95.62,1.76,1.11,52.46,18,6.72,16.46,29.9,32.26,1450,0.35,0.26,0.4
,,,,,,,,,,,,,,,,,,,
5.18,64.24,4.41,1.37,0.29,21.26,1.68,93.63,2.22,1.17,51.96,21.8,6.27,13.42,25.95,27.64,1370,0.31,0.24,0.36
,,,,,,,,,,,,,,,,,,,
5.07,64.42,4.21,1.39,0.24,21.83,1.26,92.1,2.35,1.2,51.09,24.08,6.31,12.81,25.44,26.85,1410,0.26,0.23,0.35
,,,,,,,,,,,,,,,,,,,
4.94,64.2,4.08,1.42,0.29,22.15,1.64,90.93,2.46,1.21,47.28,27.88,6.19,12.42,24.79,26.26,1340,0.27,0.24,0.35
,,,,,,,,,,,,,,,,,,,
5.07,63.58,3.98,1.4,0.28,22.99,1.12,87.04,2.54,1.27,39.75,35.96,6.7,12.11,25.51,26.39,1340,0.29,0.23,0.35
,,,,,,,,,,,,,,,,,,,
5.35,63.62,4.53,1.38,0.35,22.34,1.46,88.46,2.26,1.18,40.81,33.3,6.51,13.78,26.81,28.48,1280,0.34,0.27,0.36
,,,,,,,,,,,,,,,,,,,
4.93,64.18,4.09,1.4,0.29,22.12,1.26,91.02,2.45,1.21,49.02,26.48,6.14,12.45,24.73,26.23,1340,0.27,0.24,0.35
,,,,,,,,,,,,,,,,,,,
5.13,63.92,4.32,1.42,0.42,21.48,2.04,92.49,2.27,1.19,47.98,25.43,6.29,13.15,25.72,27.48,1280,0.4,0.28,0.35
,,,,,,,,,,,,,,,,,,,
5.09,64.45,4.23,1.47,0.29,21.45,1.72,93.52,2.3,1.2,52.07,22.26,6.33,12.87,25.53,27.08,1350,0.32,0.27,0.35
,,,,,,,,,,,,,,,,,,,
5.06,64.73,4.21,1.47,0.31,20.76,2.8,96.7,2.24,1.2,54.29,18.61,6.29,12.81,25.38,26.97,1250,0.36,0.27,0.33
,,,,,,,,,,,,,,,,,,,
4.97,64.54,4.19,1.48,0.29,21.15,2.66,95.04,2.31,1.19,51.75,21.64,6.08,12.75,24.91,26.65,1280,0.35,0.27,0.34
,,,,,,,,,,,,,,,,,,,
4.93,64.53,4.06,1.52,0.3,21.22,2.52,94.94,2.36,1.21,52.2,21.5,6.19,12.35,24.74,26.3,1290,0.34,0.3,0.34
,,,,,,,,,,,,,,,,,,,
4.93,64.64,4.04,1.5,0.24,21.38,1.96,94.49,2.38,1.22,53.74,20.8,6.23,12.29,24.75,26.17,1400,0.33,0.29,0.34
,,,,,,,,,,,,,,,,,,,
4.89,64.21,4.01,1.51,0.43,21.6,2.4,93.12,2.43,1.22,48.84,25.12,6.17,12.2,24.55,26.19,1350,0.36,0.27,0.33
,,,,,,,,,,,,,,,,,,,
4.85,64.18,4,1.51,0.37,21.66,2.24,92.92,2.45,1.21,49.2,25.03,6.08,12.17,24.34,25.99,1360,0.38,0.3,0.34
,,,,,,,,,,,,,,,,,,,
4.9,64.18,4.02,1.52,0.33,21.44,2.68,93.66,2.4,1.22,48.71,24.76,6.18,12.23,24.6,26.15,1340,0.36,0.31,0.34
,,,,,,,,,,,,,,,,,,,
4.89,64.54,4.04,1.52,0.33,21.41,2.72,94.3,2.4,1.21,50.28,23.49,6.12,12.29,24.54,26.16,1330,0.38,0.29,0.34
,,,,,,,,,,,,,,,,,,,
4.84,63.74,4,1.54,0.39,22,2.36,91.05,2.49,1.21,44.4,29.62,6.06,12.17,24.29,26.01,1270,0.37,0.3,0.34
,,,,,,,,,,,,,,,,,,,
4.91,63.61,4.03,1.53,0.39,22.26,1.68,89.79,2.49,1.22,44.15,30.55,6.19,12.26,24.65,26.27,1280,0.35,0.29,0.35
4.95,64.27,4.1,1.5,0.34,21.48,2.32,93.5,2.38,1.21,49.8,24.07,6.19,12.46,24.83,26.45,1315,0.36,0.29,0.34
0.09,0.36,0.11,0.03,0.06,0.39,0.39,1.85,0.08,0.01,3.27,3.49,0.09,0.34,0.47,0.48,45.83,0.02,0.01,0.01
,,,,,,,,,,,,,,,,,,,
4.94,63.83,4.04,1.65,0.26,22.03,1.98,90.88,2.45,1.22,45.36,28.98,6.26,12.29,24.8,26.37,1300,0.34,0.28,0.34
,,,,,,,,,,,,,,,,,,,
4.96,64.76,4.03,1.52,0.28,21.23,2.46,95.21,2.36,1.23,53.15,20.81,6.33,12.26,24.91,26.3,1280,0.35,0.29,0.34
,,,,,,,,,,,,,,,,,,,
5.17,64.18,4.33,1.49,0.21,21.6,1.4,92.35,2.27,1.19,50.45,23.91,6.37,13.18,25.92,27.48,1380,0.32,0.27,0.36
,,,,,,,,,,,,,,,,,,,
5,64.17,4.13,1.54,0.25,21.87,1.68,91.78,2.4,1.21,48.65,26.04,6.26,12.57,25.09,26.63,1280,0.35,0.29,0.35
,,,,,,,,,,,,,,,,,,,
4.7,64.1,3.95,1.44,0.45,21.88,2.8,92.27,2.53,1.19,46,28.07,5.77,12.02,23.56,25.45,1100,0.35,0.29,0.33
,,,,,,,,,,,,,,,,,,,
4.93,63.43,4.1,1.52,0.37,22.29,1.82,89.35,2.47,1.2,42.38,31.97,6.13,12.48,24.73,26.45,1220,0.43,0.37,0.33
,,,,,,,,,,,,,,,,,,,
4.96,63.96,4.14,1.54,0.41,21.66,2.88,92.31,2.38,1.2,44.76,28.37,6.14,12.6,24.88,26.69,1180,0.45,0.41,0.34
,,,,,,,,,,,,,,,,,,,
5.03,63.55,4.18,1.53,0.33,22.13,1.96,89.87,2.4,1.2,42.73,31.25,6.26,12.72,25.23,26.89,1360,0.4,0.37,0.34
,,,,,,,,,,,,,,,,,,,
5.3,63.28,4.2,1.55,0.41,22.1,2.12,89.16,2.33,1.26,39.37,33.7,6.94,12.78,26.66,27.84,1300,0.43,0.39,0.35
,,,,,,,,,,,,,,,,,,,
