Al2O3,CaO,Fe2O3,MgO,SO3,SiO2,F.CaO,LSF,SM,A/F,C3S,C2S,C3A,C4AF,2C3A+C4AF,LIQUID %,LT.WT Gm/Ltr,K2O,Na2O,TiO2
5.05,65.55,4.01,1.63,0.45,21.18,2.58,96.44,2.34,1.26,55.68,18.76,6.6,12.2,25.4,26.8,1240,0.38,0.35,0.34
,,,,,,,,,,,,,,,,,,,
5.14,65.63,4.05,1.61,0.26,21.65,2.1,94.54,2.36,1.27,53.73,21.58,6.77,12.32,25.86,26.94,1320,0.35,0.34,0.35
,,,,,,,,,,,,,,,,,,,
5.08,66.3,4.07,1.58,0.32,21.03,2.66,98.04,2.3,1.25,59.26,15.63,6.58,12.39,25.54,26.84,1310,0.34,0.34,0.34
,,,,,,,,,,,,,,,,,,,
5.05,66.23,4.03,1.61,0.31,21.23,2.52,97.22,2.34,1.25,58.28,16.94,6.56,12.26,25.39,26.68,1310,0.32,0.33,0.34
,,,,,,,,,,,,,,,,,,,
5.15,65.92,4.05,1.61,0.33,21.53,2.24,95.4,2.34,1.27,55.18,20.14,6.79,12.32,25.91,27.04,1290,0.34,0.33,0.34
5.01,65.99,4.04,1.63,0.37,21.26,2.66,96.81,2.35,1.24,56.76,18.17,6.44,12.29,25.18,26.67,1290,0.34,0.32,0.34
,,,,,,,,,,,,,,,,,,,
4.98,65.92,3.98,1.61,0.28,21.55,2.24,95.67,2.41,1.25,56.27,19.38,6.46,12.11,25.04,26.34,1320,0.31,0.31,0.34
,,,,,,,,,,,,,,,,,,,
5.07,65.65,4.07,1.59,0.19,21.44,2.56,95.47,2.35,1.25,53.97,20.79,6.55,12.39,25.48,26.69,1320,0.31,0.32,0.34
,,,,,,,,,,,,,,,,,,,
5.1,65.78,4.07,1.6,0.19,21.55,2.46,95.19,2.35,1.25,53.87,21.19,6.63,12.39,25.64,26.79,1320,0.31,0.32,0.34
,,,,,,,,,,,,,,,,,,,
5.04,66.17,4.04,1.58,0.27,21.03,2.52,97.95,2.32,1.25,59.61,15.37,6.52,12.29,25.33,26.61,1330,0.29,0.3,0.34
,,,,,,,,,,,,,,,,,,,
5.04,65.6,4.04,1.59,0.46,21.19,2.48,96.46,2.33,1.25,56.24,18.37,6.52,12.29,25.33,26.81,1270,0.33,0.33,0.33
,,,,,,,,,,,,,,,,,,,
5.06,66.03,4.01,1.58,0.54,21.72,2.32,95.01,2.39,1.26,54.52,21.18,6.62,12.2,25.45,26.87,1320,0.34,0.35,0.34
,,,,,,,,,,,,,,,,,,,
5.09,65.72,3.99,1.59,0.46,21.77,2.24,94.35,2.4,1.28,53.03,22.45,6.74,12.14,25.62,26.84,1340,0.34,0.36,0.34
,,,,,,,,,,,,,,,,,,,
5.03,65.49,4.07,1.58,0.52,21.56,2.52,94.85,2.37,1.24,52.84,21.99,6.44,12.39,25.27,26.89,1310,0.33,0.35,0.34
,,,,,,,,,,,,,,,,,,,
5.11,66.18,4.02,1.59,0.49,21.26,2.73,96.93,2.33,1.27,56.61,18.29,6.74,12.23,25.71,27,1270,0.34,0.35,0.34
,,,,,,,,,,,,,,,,,,,
5.12,66.25,4.05,1.68,0.4,21.17,2.8,97.35,2.31,1.26,57.18,17.6,6.72,12.32,25.75,27.09,1300,0.33,0.35,0.34
,,,,,,,,,,,,,,,,,,,
5.09,66.01,4.03,1.6,0.34,21.5,2.24,95.77,2.36,1.26,56.21,19.28,6.67,12.26,25.6,26.82,1320,0.32,0.32,0.34
5.01,65.64,4.04,1.58,0.54,21.54,2.52,95.2,2.38,1.24,53.78,21.23,6.44,12.29,25.18,26.79,1280,0.36,0.35,0.34
,,,,,,,,,,,,,,,,,,,
5.19,65.41,4.06,1.59,0.58,21.08,2.8,96.35,2.28,1.28,53.96,19.77,6.88,12.35,26.12,27.41,1250,0.35,0.34,0.34
,,,,,,,,,,,,,,,,,,,
5.21,65.68,4.07,1.61,0.55,20.89,3.36,97.46,2.25,1.28,54.08,19.14,6.92,12.39,26.23,27.48,1230,0.37,0.35,0.34
,,,,,,,,,,,,,,,,,,,
5.11,65.75,4.04,1.61,0.44,21.12,3.64,96.84,2.31,1.26,52.19,21.22,6.71,12.29,25.71,27.01,1160,0.35,0.34,0.34
5.04,66.07,4.06,1.54,0.62,21.28,1.9,96.78,2.34,1.24,59.8,15.94,6.49,12.35,25.33,26.96,1380,0.32,0.34,0.34
,,,,,,,,,,,,,,,,,,,
5.1,66.33,4.09,1.59,0.19,21.75,1.82,95.19,2.37,1.25,57.17,19.28,6.59,12.45,25.64,26.82,1450,0.3,0.32,0.34
,,,,,,,,,,,,,,,,,,,
