Al2O3,CaO,Fe2O3,MgO,SO3,SiO2,F.CaO,LSF,SM,A/F,C3S,C2S,C3A,C4AF,2C3A+C4AF,LIQUID %,LT.WT Gm/Ltr,K2O,Na2O,TiO2
4.51,66.19,3.71,1.43,0.26,22.57,1.68,93.2,2.75,1.22,55.44,22.93,5.67,11.29,22.64,24.16,1360,0.24,0.35,0.32
,,,,,,,,,,,,,,,,,,,
4.53,66.47,3.62,1.42,0.3,21.76,2.8,96.73,2.67,1.25,58.17,18.55,5.88,11.02,22.77,24.05,1250,0.33,0.37,0.31
,,,,,,,,,,,,,,,,,,,
4.6,65.82,3.54,1.41,0.2,22.57,2.21,92.68,2.77,1.3,51.41,25.96,6.2,10.77,23.17,23.97,1240,0.28,0.35,0.31
,,,,,,,,,,,,,,,,,,,
4.45,65.82,3.53,1.37,0.2,22.06,2.52,94.84,2.76,1.26,55.05,21.76,5.82,10.74,22.38,23.46,1300,0.28,0.35,0.31
4.9,64.8,3.62,1.59,0.5,22.53,1.18,90.86,2.64,1.35,49.63,27.2,6.86,11.02,24.74,25.51,1385,0.35,0.36,0.35
,,,,,,,,,,,,,,,,,,,
4.86,65.04,3.63,1.59,0.48,22.45,1.35,91.54,2.64,1.34,50.78,26.1,6.74,11.05,24.52,25.39,1320,0.31,0.34,0.35
,,,,,,,,,,,,,,,,,,,
5.02,65.45,3.62,1.59,0.26,21.85,1.52,94.1,2.53,1.39,55.25,21,7.18,11.02,25.37,25.62,1290,0.33,0.33,0.35
,,,,,,,,,,,,,,,,,,,
5,65.62,3.65,1.59,0.18,21.86,1.86,94.31,2.53,1.37,54.58,21.54,7.07,11.11,25.26,25.55,1300,0.3,0.32,0.35
,,,,,,,,,,,,,,,,,,,
4.67,65.35,3.65,1.59,0.67,22,1.74,93.93,2.64,1.28,55.12,21.54,6.2,11.11,23.51,25.07,1290,0.34,0.37,0.34
,,,,,,,,,,,,,,,,,,,
