Al2O3,CaO,Fe2O3,MgO,SO3,SiO2,F.CaO,LSF,SM,A/F,C3S,C2S,C3A,C4AF,2C3A+C4AF,LIQUID %,LT.WT Gm/Ltr,K2O,Na2O,TiO2
5,63.84,3.81,1.78,0.34,22.32,1.26,89.95,2.53,1.31,46.05,29.29,6.8,11.59,25.2,26.25,1410,0.3,0.37,0.37
,,,,,,,,,,,,,,,,,,,
5,63.34,3.81,1.83,0.3,22.5,1.4,88.62,2.55,1.31,42.07,32.81,6.8,11.59,25.2,26.26,1310,0.32,0.39,0.36
,,,,,,,,,,,,,,,,,,,
4.96,63.46,3.82,1.82,0.27,21.97,1.68,90.72,2.5,1.3,45.71,28.55,6.68,11.62,24.99,26.13,1290,0.31,0.38,0.36
,,,,,,,,,,,,,,,,,,,
5.24,63.3,3.88,1.85,0.36,22.15,1.82,89.37,2.43,1.35,41.15,32.5,7.32,11.81,26.45,27.2,1270,0.31,0.39,0.38
,,,,,,,,,,,,,,,,,,,
5.15,63.72,3.85,1.86,0.34,21.99,1.76,90.7,2.44,1.34,44.97,29.16,7.13,11.72,25.98,26.86,1280,0.3,0.39,0.37
,,,,,,,,,,,,,,,,,,,
5.21,63.66,3.84,1.87,0.39,22.1,1.64,90.13,2.44,1.36,43.99,30.22,7.31,11.69,26.3,27.08,1280,0.31,0.41,0.38
,,,,,,,,,,,,,,,,,,,
5.09,63.58,3.81,1.85,0.39,22.14,1.76,90.09,2.49,1.34,43.72,30.53,7.04,11.59,25.68,26.64,1280,0.31,0.41,0.37
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
5.1,63.97,3.81,1.86,0.47,21.8,2.68,91.86,2.45,1.34,44.08,29.29,7.07,11.59,25.73,26.76,1260,0.33,0.42,0.37
5.12,63.69,3.8,1.83,0.25,22.38,1.4,89.35,2.51,1.35,43.62,31.3,7.14,11.56,25.84,26.54,1320,0.27,0.38,0.37
,,,,,,,,,,,,,,,,,,,
5.16,64.08,3.89,1.81,0.27,21.79,1.73,91.89,2.41,1.33,47.95,26.34,7.09,11.84,26.02,26.86,1330,0.27,0.37,0.38
,,,,,,,,,,,,,,,,,,,
5.08,63.75,3.82,1.84,0.36,22.08,1.71,90.55,2.48,1.33,45.12,29.3,7,11.62,25.62,26.59,1300,0.31,0.39,0.37
,,,,,,,,,,,,,,,,,,,
5.06,63.71,3.81,1.82,0.36,21.97,1.84,90.93,2.48,1.33,45.42,28.77,6.96,11.59,25.52,26.49,1280,0.3,0.38,0.38
5.39,63.32,3.88,1.81,0.45,22.12,1.84,89.28,2.39,1.39,40.37,33,7.72,11.81,27.24,27.7,1240,0.31,0.39,0.38
