Al2O3,CaO,Fe2O3,MgO,SO3,SiO2,F.CaO,LSF,SM,A/F,C3S,C2S,C3A,C4AF,2C3A+C4AF,LIQUID %,LT.WT Gm/Ltr,K2O,Na2O,TiO2
5.1,65.63,3.83,1.68,0.15,21.66,2.46,94.76,2.43,1.33,52.77,22.33,7.03,11.65,25.72,26.3,1290,0.39,0.31,0.35
,,,,,,,,,,,,,,,,,,,
5.02,66.46,3.81,1.67,0.41,20.51,3.64,100.81,2.32,1.32,60.65,13.09,6.86,11.59,25.31,26.27,1180,0.35,0.28,0.34
,,,,,,,,,,,,,,,,,,,
5.05,65.69,3.8,1.68,0.24,21.71,2.4,94.77,2.45,1.33,53.25,22.11,6.95,11.56,25.47,26.18,1250,0.37,0.31,0.35
5.12,65.42,3.88,1.68,0.24,21.99,1.26,93.14,2.44,1.32,54.08,22.29,7,11.81,25.81,26.56,1360,0.31,0.31,0.35
,,,,,,,,,,,,,,,,,,,
5.05,65.4,3.84,1.67,0.29,21.76,1.62,94.12,2.45,1.32,54.81,21.08,6.89,11.69,25.46,26.31,1290,0.34,0.31,0.35
,,,,,,,,,,,,,,,,,,,
5.11,66.35,3.75,1.64,0.25,21.47,2.68,96.6,2.42,1.36,56.29,19.13,7.2,11.41,25.8,26.21,1290,0.36,0.3,0.34
,,,,,,,,,,,,,,,,,,,
5.1,65.42,3.72,1.64,0.79,21.02,2.94,97.07,2.38,1.37,54.98,18.83,7.22,11.32,25.76,26.66,1210,0.47,0.34,0.33
,,,,,,,,,,,,,,,,,,,
5.2,65.61,3.9,1.7,0.37,21.68,2.24,94.43,2.38,1.33,52.66,22.47,7.18,11.87,26.23,26.99,1300,0.37,0.32,0.35
,,,,,,,,,,,,,,,,,,,
5.25,63.89,3.92,1.77,0.44,23.04,1.29,87.09,2.51,1.34,38.82,36.81,7.28,11.93,26.49,27.32,1380,0.37,0.33,0.37
,,,,,,,,,,,,,,,,,,,
5.12,64.03,3.87,1.75,0.29,22.88,1.23,88.05,2.55,1.32,41.79,34.11,7.02,11.78,25.82,26.66,1400,0.42,0.32,0.36
,,,,,,,,,,,,,,,,,,,
5.2,64.34,3.89,1.79,0.39,22.44,1.96,89.86,2.47,1.34,42.86,32.04,7.2,11.84,26.23,27.08,1240,0.41,0.34,0.36
5.47,65.21,3.92,1.71,0.51,21.91,1.84,92.55,2.33,1.4,49.07,25.84,7.86,11.93,27.65,27.98,1200,0.31,0.33,0.37
5.37,65.63,3.89,1.64,0.52,21.02,1.9,96.76,2.27,1.38,58.01,16.54,7.65,11.84,27.13,27.56,1400,0.41,0.37,0.34
,,,,,,,,,,,,,,,,,,,
5.29,66.4,3.86,1.63,0.43,20.95,2.02,98.35,2.29,1.37,61.77,13.51,7.49,11.75,26.72,27.16,1340,0.36,0.32,0.33
4.81,65.58,4.8,1.56,0.22,21.64,1.68,94.38,2.25,1,56.45,19.5,4.62,14.61,23.86,27.53,1310,0.32,0.32,0.32
,,,,,,,,,,,,,,,,,,,
4.78,64.07,5.15,1.54,0.43,22.41,1.24,89.19,2.26,0.93,45.94,29.63,3.95,15.67,23.58,28.4,1340,0.38,0.37,0.35
4.61,65.51,5.37,1.51,0.45,21.01,2.24,96.55,2.11,0.86,59.21,15.62,3.13,16.34,22.6,28.37,1260,0.37,0.39,0.35
,,,,,,,,,,,,,,,,,,,
4.61,66.3,5.3,1.52,0.27,20.84,2.46,98.47,2.1,0.87,62.92,12.33,3.25,16.13,22.63,28.05,1310,0.33,0.37,0.32
,,,,,,,,,,,,,,,,,,,
4.59,65.35,5.3,1.5,0.37,21,1.96,96.45,2.12,0.87,60,14.98,3.2,16.13,22.52,28.07,1310,0.36,0.37,0.34
,,,,,,,,,,,,,,,,,,,
4.53,65,5.46,1.48,0.21,22.01,1.12,92.05,2.2,0.83,54.5,22.04,2.77,16.61,22.15,28.07,1320,0.4,0.41,0.31
,,,,,,,,,,,,,,,,,,,
4.42,63.98,5.76,1.47,0.62,21.69,0.98,91.69,2.13,0.77,53.66,21.75,1.97,17.53,21.46,28.8,1300,0.46,0.47,0.31
,,,,,,,,,,,,,,,,,,,
4.44,64.28,6.09,1.48,0.43,21.8,0.84,91.4,2.07,0.73,54,21.8,1.46,18.53,21.46,29.41,1300,0.37,0.45,0.31
,,,,,,,,,,,,,,,,,,,
4.34,65.23,5.85,1.47,0.22,21.77,1.45,93.23,2.14,0.74,56.63,19.74,1.6,17.8,21.01,28.36,1400,0.34,0.39,0.31
,,,,,,,,,,,,,,,,,,,
4.33,65.36,5.65,1.45,0.45,21.76,1.4,93.64,2.18,0.77,57.79,18.83,1.91,17.19,21.02,28.1,1320,0.31,0.37,0.31
,,,,,,,,,,,,,,,,,,,
4.45,65.81,5.6,1.49,0.3,21.04,2.2,96.93,2.09,0.79,61.11,14.27,2.32,17.04,21.68,28.24,1280,0.4,0.41,0.3
,,,,,,,,,,,,,,,,,,,
4.31,64.47,5.78,1.44,0.8,21.66,1.12,92.66,2.15,0.75,56.02,19.88,1.64,17.59,20.87,28.67,1380,0.41,0.5,0.3
,,,,,,,,,,,,,,,,,,,
4.32,65.2,5.67,1.45,0.38,21.65,1.24,93.83,2.17,0.76,58.67,17.86,1.85,17.25,20.96,28.05,1340,0.35,0.41,0.3
,,,,,,,,,,,,,,,,,,,
4.27,65.83,5.36,1.45,0.38,21.41,1.36,96.02,2.22,0.8,63.35,13.64,2.25,16.31,20.8,27.22,1360,0.34,0.42,0.29
,,,,,,,,,,,,,,,,,,,
4.39,64.93,5.56,1.48,0.27,21.81,1.48,92.82,2.19,0.79,55.06,21.03,2.23,16.92,21.37,27.93,1320,0.4,0.44,0.3
,,,,,,,,,,,,,,,,,,,
4.37,64.86,5.79,1.46,0.39,21.75,1.12,92.78,2.14,0.75,56.5,19.77,1.78,17.62,21.19,28.48,1370,0.37,0.43,0.3
,,,,,,,,,,,,,,,,,,,
4.32,64.88,5.77,1.45,0.5,21.66,1.18,93.24,2.15,0.75,57.39,18.85,1.69,17.56,20.93,28.39,1310,0.41,0.44,0.3
,,,,,,,,,,,,,,,,,,,
4.39,64.76,5.83,1.46,0.46,21.68,1.15,92.83,2.12,0.75,56.32,19.72,1.77,17.74,21.28,28.7,1330,0.46,0.38,0.43
,,,,,,,,,,,,,,,,,,,
4.53,64.47,5.87,1.46,0.46,21.9,0.84,91.35,2.11,0.77,53.73,22.3,2.07,17.86,22.01,29.2,1400,0.39,0.43,0.31
,,,,,,,,,,,,,,,,,,,
4.51,64.08,5.94,1.48,0.93,21.6,0.78,91.87,2.07,0.76,54.7,20.71,1.9,18.08,21.88,29.78,1300,0.38,0.51,0.31
,,,,,,,,,,,,,,,,,,,
4.62,64.3,5.6,1.48,0.27,22.15,0.56,90.3,2.17,0.83,52.06,24.28,2.77,17.04,22.58,28.7,1380,0.36,0.42,0.32
,,,,,,,,,,,,,,,,,,,
4.57,64.41,5.62,1.48,0.31,22.12,0.42,90.63,2.17,0.81,53.61,23.02,2.6,17.1,22.3,28.64,1410,0.37,0.41,0.31
,,,,,,,,,,,,,,,,,,,
4.45,64.75,5.54,1.47,0.38,21.71,1.12,92.86,2.17,0.8,56.18,19.9,2.42,16.86,21.7,28.17,1350,0.41,0.45,0.3
,,,,,,,,,,,,,,,,,,,
4.58,64.92,5.53,1.49,0.21,21.98,0.56,91.91,2.17,0.83,56.24,20.63,2.78,16.83,22.39,28.38,1380,0.4,0.42,0.31
,,,,,,,,,,,,,,,,,,,
4.46,65.5,5.59,1.49,0.34,21.34,1.68,95.29,2.12,0.8,59.63,16.24,2.36,17.01,21.73,28.29,1320,0.39,0.42,0.3
,,,,,,,,,,,,,,,,,,,
4.46,65.39,5.59,1.48,0.14,21.88,2.13,93.08,2.18,0.8,53.24,22.61,2.36,17.01,21.73,28.08,1350,0.32,0.39,0.3
4.52,65.22,5.62,1.47,0.22,21.57,1.76,93.88,2.13,0.8,55.97,19.66,2.47,17.1,22.04,28.39,1340,0.35,0.4,0.31
,,,,,,,,,,,,,,,,,,,
4.49,65.19,5.65,1.48,0.17,21.66,1.62,93.52,2.14,0.79,55.89,19.98,2.34,17.19,21.87,28.33,1350,0.35,0.4,0.31
,,,,,,,,,,,,,,,,,,,
4.44,65.08,5.55,1.49,0.28,21.56,1.68,93.91,2.16,0.8,56.44,19.28,2.38,16.89,21.64,28.08,1350,0.38,0.41,0.31
,,,,,,,,,,,,,,,,,,,
4.44,64.96,5.55,1.49,0.31,21.49,1.74,94,2.15,0.8,56.24,19.23,2.38,16.89,21.64,28.11,1320,0.43,0.42,0.31
,,,,,,,,,,,,,,,,,,,
4.49,65.2,5.64,1.5,0.34,21.18,1.82,95.38,2.09,0.8,58.78,16.42,2.36,17.16,21.87,28.49,1280,0.38,0.4,0.31
,,,,,,,,,,,,,,,,,,,
4.46,65.68,5.63,1.5,0.3,21.04,2.24,96.7,2.09,0.79,60.3,14.87,2.29,17.13,21.72,28.34,1270,0.31,0.39,0.3
,,,,,,,,,,,,,,,,,,,
4.41,65.73,5.48,1.45,0.59,21.31,2.07,95.93,2.15,0.8,59.7,16.1,2.41,16.68,21.5,28.11,1300,0.38,0.47,0.3
4.58,65.93,5.55,1.49,0.36,21.12,2.12,96.62,2.08,0.83,60.51,14.95,2.75,16.89,22.38,28.57,1380,0.34,0.43,0.3
